name|mechanics|theme|players|best-players|time-units|time-mins|learning-complex|playing-complex|Favorite|Expansions|Co-Op|Legacy|blurb
Black Sonata|Deduction|Shakespeare|1|1|2|30|3|3|||||Track down the subjects of Shakespeare’s sonatas in London.
Chess|Strategy|Abstract|2|2|3|15,45|4|4|||||It's chess!
Long Live the Queen|Strategy|Fantasy|2|2|2|15,30|3|3|||||Secretly place and reveal court members to protect the princess.
Lawyer Up|Strategy|Law|2|2|4|60,90|4|4||Expansions|||Tactically play argument cards to sway the jury in an asymmetrical trial.
Paris: La Cité de la Lumière|Strategy|City Building|2|2|2|30|2|3|||||Place oddly shaped buildings to capture the limelight.
Inhuman Conditions|Deception|Cyberpunk|2|2|1|10|3|2|||||An interrogator tries to determine humanity.
Sprawlopolis|Card Game|City Building|1,4|1,2|1|15|1|1||Expansions|Co-Op||Arrange city blocks, drawn from a small deck, to complete planning goals.
Legacy of Dragonholt|Roleplaying|Fantasy|1,6|1,3|5|60,120|2|2|||Co-Op|Legacy|Read through a story full of choices to embark on quests.
Warhammer Underworlds|Strategy|Fantasy|2,4|2|3|30,60|5|4||Expansions|||Battle your miniature warbands using cards in a tactical arena.
Skulls of Sedlec|Drafting|Graveyards|2,3|2,3|1|15|2|2|||||Arrange the skulls of the Sedlec Ossuary to meet the deceased’s last wishes.
Sherlock Holmes: Consulting Detective|Deduction|Detectives|1,8|2,4|5|90,120|1|3|Favorite|Expansions|Co-Op|Legacy|Help Sherlock Holmes solve tricky mysteries.
TIME Stories Revolution|Strategy|Cyberpunk|1,4|4|5|120,180|4|4||Expansions|Co-Op|Legacy|Time travel to protect the space-time continuum.
Prêt-à-Porter|Strategy|Fashion|2,4|2,4|5|90,120|5|5|||||Use ruthless economic strategy to create the dominate fashion house.
Fort|Deckbuilding|Kids|2,4|3,4|3|30,60|4|3|||||Trade cards to find the best gang of friends, collect the most pizza and toys, and build the coolest fort.
Blokus Trigon|Strategy|Abstract|2,4|3,4|2|15,30|2|2|||||Be the first to place all your complex shapes on the increasingly crowded board.
Love Letter|Deduction|Romance|2,4|3,4|1|15|2|2|||||As a suitor, draw from a small deck of courtiers whose special abilities might get your letter closer to the Princess.
Settlers of Catan|Strategy|City Building|3,4|3,4|4|60,90|3|3|||||Use randomly distributed resources to build roads and cities and dominate a small island.
Pandemic Legacy|Strategy|Medicine|2,4|3,4|3|60|3|3|||Co-Op|Legacy|Travel a changing globe to stop the spread of disease.
Root|Strategy|Woodland Colonialism|2,4|3,4|5|90,120|5|4||Expansions|||Each faction in this crowded, colonized forest plays a different asymmetrical game.
Fire Tower|Strategy|Forest Fire|2,5|3,4|2|30,45|3|3|Favorite|Expansions|||Fight fire, and friends, with fire by strategically playing cards to place or remove flames.
Oath|Strategy|Fantasy|1,6|3,5|5|45,120|5|5|Favorite|||Legacy|Shape history in a land of empire and exile with favors, secrets, and the land’s many denizens.
Timeline: Diversity|Trivia|History|2,8|3,5|1|15|1|1|||||Correctly place your historical inventions, people, and events on a growing timeline.
Mahjong|Card Game|Abstract|4|4|3|30,90|5|5|||||James only knows riichi.
Witness|Deduction|Detectives|4|4|2|15,30|1|3|Favorite||Co-Op||Each detective receives a small picture of a case, and then must quietly pass the key facts to their partners while ignoring red herrings being told to them.
Bananagrams|Word Game|Abstract|2,8|2,6|2|15,30|1|1|||||Create your own crossword as fast as possible.
Bargain Quest|Drafting|Fantasy|2,6|3,6|3|30,60|
